C12  C32
H2R  H2X
H2S  H2Y
C13  C33
H3R  H3X
H3S  H3Y
C14  C34
H4R  H4X
H4S  H4Y
C15  C35
H5R  H5X
H5S  H5Y
C16  C36
H6R  H6X
H6S  H6Y
C17  C37
H7R  H7X
H7S  H7Y
C18  C38
H8R  H8X
H8S  H8Y
C19  C39
H9R  H9X
H9S  H9Y
C110 C310
H10R H10X
H10S H10Y
C111 C311
H11R H11X
H11S H11Y
C112 C312
H12R H12X
H12S H12Y
C113 C313
H13R H13X
H13S H13Y
C114 C314
H14R H14X
H14S H14Y
C115 C315
H15R H15X
H15S H15Y
C116 C316
H16R H16X
H16S H16Y
H16T H16Z
